q0 q1 q2 q3 wx wy wz
-0.339674  0.182331 -0.034707 -0.922048  0.195748 0.0651839 0.0749831
 -0.332296   0.179629 -0.0304076  -0.925412   0.195959   0.064684  0.0748502
 -0.324905   0.176985 -0.0260006  -0.928675   0.196169  0.0641845   0.074718
 -0.317429    0.17441 -0.0216759  -0.931853   0.196377  0.0636853  0.0745864
 -0.309942   0.171858 -0.0173638  -0.934933   0.196584  0.0631864  0.0744556
 -0.302474   0.169227 -0.0128666  -0.937927   0.196788  0.0626878  0.0743254
  -0.294838     0.16665 -0.00837476   -0.940866    0.196991   0.0621896    0.074196
  -0.287246    0.164129 -0.00391755   -0.943682    0.197192   0.0616917   0.0740672
   -0.27965    0.161596 0.000514593   -0.946405    0.197391   0.0611941   0.0739392
 -0.272005   0.159058 0.00493234  -0.949047   0.197588  0.0606969  0.0738119
 -0.264279   0.156563 0.00945701  -0.951607   0.197784     0.0602  0.0736854
-0.256509  0.154013 0.0139301 -0.954091  0.197978 0.0597035 0.0735595
-0.248756  0.151561  0.018454 -0.956457   0.19817 0.0592073 0.0734345
-0.240969  0.149074 0.0229542 -0.958741  0.198361 0.0587115 0.0733101
 -0.23314   0.14653 0.0275378 -0.960945  0.198549  0.058216 0.0731866
-0.225311  0.144084 0.0320744  -0.96304  0.198736 0.0577209 0.0730637
-0.217484  0.141625  0.036561 -0.965042  0.198921 0.0572261 0.0729417
-0.209596  0.139123 0.0411157 -0.966966  0.199105 0.0567317 0.0728204
-0.201735  0.136712 0.0456541 -0.968777  0.199286 0.0562377 0.0726999
-0.193812   0.13431 0.0502785   -0.9705  0.199466  0.055744 0.0725802
-0.185954  0.131925 0.0548472 -0.972115  0.199644 0.0552507 0.0724613
-0.178131  0.129473 0.0594799 -0.973637  0.199821 0.0547577 0.0723432
-0.170272  0.127149 0.0640542 -0.975058  0.199995 0.0542651  0.072226
-0.162353   0.12479 0.0686906 -0.976397  0.200168 0.0537729 0.0721095
-0.154278  0.122437 0.0733452 -0.977665  0.200339 0.0532811 0.0719938
-0.146355  0.120138 0.0780068 -0.978806  0.200509 0.0527896  0.071879
-0.138359  0.117789 0.0826676 -0.979872  0.200676 0.0522985  0.071765
-0.130408  0.115594 0.0873593 -0.980816  0.200842 0.0518077 0.0716518
-0.122395  0.113328 0.0920516 -0.981684  0.201007 0.0513174 0.0715395
-0.114419  0.111032 0.0966937 -0.982461  0.201169 0.0508274  0.071428
-0.106557  0.108704  0.101411  -0.98313   0.20133 0.0503378 0.0713174
-0.0985315    0.10637   0.106076   -0.98373   0.201489  0.0498485  0.0712077
-0.0905441   0.104228   0.110728  -0.984214   0.201646  0.0493597  0.0710988
-0.0825617   0.101937   0.115409  -0.984618   0.201802  0.0488712  0.0709908
-0.0744847  0.0997875   0.120117   -0.98492   0.201956  0.0483831  0.0708837
-0.0664111   0.097542   0.124902  -0.985127   0.202108  0.0478954  0.0707775
-0.0582663  0.0953283    0.12962  -0.985249   0.202259   0.047408  0.0706721
-0.0502646  0.0932317   0.134459  -0.985242   0.202407  0.0469211  0.0705677
-0.0422102  0.0911416   0.139329  -0.985139   0.202555  0.0464345  0.0704641
-0.0341858  0.0889311   0.144037  -0.984975     0.2027  0.0459482  0.0703615
-0.0261953  0.0867056    0.14881  -0.984709   0.202844  0.0454624  0.0702598
-0.0181112  0.0846299   0.153628  -0.984331   0.202985  0.0449769   0.070159
-0.0101671  0.0825672    0.15841  -0.983863   0.203126  0.0444919  0.0700592
-0.00218007   0.0804115    0.163224   -0.983304    0.203264   0.0440071   0.0699602
 0.005797 0.0782598  0.168009 -0.982657  0.203401 0.0435228 0.0698623
0.0137774 0.0763177  0.172929 -0.981876  0.203536 0.0430389 0.0697652
0.0217886 0.0742218  0.177759 -0.981029   0.20367 0.0425553 0.0696691
0.0297003 0.0723177  0.182571  -0.98008  0.203801 0.0420721  0.069574
0.0375866 0.0703518   0.18742 -0.979036  0.203931 0.0415892 0.0694798
0.0455005 0.0684288  0.192181 -0.977913   0.20406 0.0411068 0.0693866
0.0534295 0.0666361  0.196925 -0.976691  0.204186 0.0406247 0.0692943
0.0613148 0.0647339  0.201637 -0.975394  0.204311  0.040143 0.0692031
0.0692649 0.0628452  0.206387  -0.97399  0.204434 0.0396616 0.0691128
0.0772052 0.0610476  0.211149 -0.972486  0.204556 0.0391806 0.0690235
0.0850428 0.0592075  0.215847 -0.970913  0.204676    0.0387 0.0689352
 0.092778 0.0573703  0.220666  -0.96923  0.204794 0.0382198 0.0688478
 0.100692 0.0555678  0.225504  -0.96743   0.20491 0.0377399 0.0687615
 0.108537 0.0538144  0.230313 -0.965546  0.205025 0.0372604 0.0686762
 0.116394 0.0520588  0.235085 -0.963575  0.205138 0.0367812 0.0685919
 0.124166 0.0503675  0.239846 -0.961519   0.20525 0.0363024 0.0685086
 0.131923 0.0486106  0.244503 -0.959402  0.205359  0.035824 0.0684263
 0.139688 0.0469564  0.249302 -0.957147  0.205467 0.0353459 0.0683451
 0.147403 0.0453099  0.254069 -0.954813  0.205574 0.0348682 0.0682648
 0.155187 0.0435936  0.258808 -0.952384  0.205678 0.0343908 0.0681856
 0.162842 0.0420358  0.263541 -0.949875  0.205781 0.0339138 0.0681075
 0.170552   0.04046  0.268175 -0.947289  0.205883 0.0334371 0.0680304
 0.178213 0.0388251  0.272841 -0.944611  0.205982 0.0329608 0.0679543
  0.18591  0.037257  0.277558 -0.941813   0.20608 0.0324848 0.0678792
 0.193491 0.0358797  0.282235 -0.938945  0.206177 0.0320092 0.0678053
 0.200988 0.0343821  0.286842 -0.936025  0.206271 0.0315339 0.0677323
